site,logp1_parrotfish_biomass_kg,logp1_large_parrotfish_biomass_kg,logp1_midnightPF_biomass_kg,logp1_bluePF_biomass_kg,logp1_rainbowPF_biomass_kg,logp1_stoplightPF_biomass_kg,midnightPA,bluePA,rainbowPA,stoplightPA,Year,Month,Latitude,Longitude,Depth,Coral_cover,Reef_complexity,SST,NPP,Wave_exposure,HABITAT_CD,Coral_area_UFRTM_20km,Coral_area_UFRTM_200km,Deepwater,slips45_10km,Marine_reserve,population_20km,population_50km,rec_fishermen_50km,Artificial_reefs_1km,Gravity_total,nursery_seagrass,nursery_mangroves,connectivity,RecEng,pf_preds_biomass_kg,pf_no_midnight_biomass_kg,pf_no_blue_biomass_kg,pf_no_rainbow_biomass_kg,pf_no_stoplight_biomass_kg,turf_cover,macroalgae_cover,random
2001755_1040U,4.050563786,2.998393961,0,0,0,2.998393961,0,0,0,1,2014,October,25.57453807,-80.09959172,7.25613079,4.98773842,2.529291553,24.0648132,540.3643799,7.206981182,CONT_HR,39130,1054902,800,0,Open,14427,2859482,97225,0,559,46033360,29744.8418,40.84313725,-0.26,805.4888041,56.42982607,56.42982607,56.42982607,37.37652141,NA,NA,3752
2001877_1041U,6.87020731,6.787153965,6.064478845,0,5.717390453,5.036813734,1,0,1,1,2014,October,25.57542275,-80.10164058,7.605897772,6.01965924,1.729423329,24.0519653,541.1524658,7.206165314,CONT_HR,39291,1055683,1000,0,Open,14427,2859482,97608,0,559,47983136,31497.05469,40.84313725,-0.26,29.86401163,532.8498487,962.1482158,659.0379192,809.1696002,NA,NA,8115
2003830_1042U,5.463577555,5.001316646,0,0,0,5.001316646,0,0,0,1,2014,October,25.58966658,-80.09616928,3.309014085,1.738732394,0.53806338,24.1193481,552.8944092,7.208601952,CONT_MR,40266,1045901,600,0,Open,16262,2940764,99823,0,559,39846368,19461.71484,40.84313725,-0.26,31.16774986,234.9400046,234.9400046,234.9400046,87.3313092,87,6,6124
2004068_1052U,2.086356134,0,0,0,0,0,0,0,0,0,2014,October,25.59122126,-80.09836491,5.252702703,4.317567568,0.441779279,24.1094604,554.4237061,7.225909233,RUBB_LR,40467,1046308,800,0,Open,23416,2956645,99823,0,559,41087784,20102.24805,40.84313725,-0.26,0,7.055508423,7.055508423,7.055508423,7.055508423,NA,NA,4025
2005892_1061U,4.491130931,2.331204314,0,0,0,2.331204314,0,0,0,1,2014,October,25.60483891,-80.09030687,22.22234637,2,1.556634078,24.1825195,565.3771973,7.259585381,SPGR_HR,42687,1035616,100,0,Open,72517,3026731,101961,0,559,31105758,2159.002197,26.16842452,-0.26,22.03681628,88.2222931,88.2222931,88.2222931,78.93196624,NA,NA,971
2006180_3048H,2.92131334,0,0,0,0,0,0,0,0,0,2014,August,25.81117,-80.10839,5.8,1,0.65,24.1740967,399.4866943,7.37513876,RGSH,81993,963296,2300,1264,Open,1258057,4078195,131822,0,17036,910328.4375,162117.875,21.63829787,-0.26,0,17.56565448,17.56565448,17.56565448,17.56565448,NA,NA,3536
2006835_3048U,3.555174683,2.69323529,0,0,0,2.69323529,0,0,0,1,2014,August,25.81072,-80.10889,6.6,2.5,0.55,24.1740967,399.4866943,7.37513876,RGSH,81993,963296,2300,1264,Open,1258057,4078195,131822,0,17036,910328.4375,162117.875,21.63829787,-0.26,62.31121695,33.99393227,33.99393227,33.99393227,20.21451793,NA,NA,141
2008713_1033U,3.064063871,0,0,0,0,0,0,0,0,0,2014,October,25.6249623,-80.09920676,8.003599374,1.241001565,0.301799687,24.1306396,581.8944092,7.374279976,ISOL_LR,48688,1032109,900,0,Open,259741,3100624,104966,2,559,32817200,0,26.16842452,-0.26,11.27361376,20.41440596,20.41440596,20.41440596,20.41440596,NA,NA,1192
2010765_1026U,4.894342262,3.380388923,0,0,3.138587939,1.989370553,0,0,1,1,2014,October,25.639613,-80.11649175,7.543759178,3.037444934,0.83061674,24.0368896,594.0493774,7.414526463,ISOL_LR,53084,1035799,2800,100,Open,512262,3184944,108331,0,1529,44128436,46258.94922,26.16842452,-0.26,263.7110523,132.5321485,132.5321485,110.4608827,126.221218,NA,NA,4253
2010779_1034U,4.048697115,3.829483634,0,2.795409904,0,3.423266133,0,1,0,1,2014,October,25.63921346,-80.10280419,7.395391705,0.5,0.462211982,24.1052185,593.8469849,7.488019943,ISOL_LR,53078,1028948,1400,100,Open,400906,3161467,107393,0,1529,31792504,740.6751709,26.16842452,-0.26,0,56.32272344,40.95338621,56.32272344,26.65330141,NA,NA,8871
